2025-09-25 13:19:52,000 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 13:24:52,009 | INFO | BotMonitor | 🖥️  System: CPU 28.0%, RAM 42.6%, Latency 105.24ms
2025-09-25 13:24:52,009 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 13:29:52,009 | INFO | BotMonitor | 🖥️  System: CPU 25.2%, RAM 43.1%, Latency 101.23ms
2025-09-25 13:29:52,009 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 13:31:39,114 | INFO | BotMonitor | 📊 Loaded historical metrics
2025-09-25 13:31:39,115 | INFO | BotMonitor | 🚀 Monitoring system initialized (task start deferred)
2025-09-25 13:31:43,240 | INFO | BotMonitor | 🖥️  System: CPU 38.1%, RAM 43.8%, Latency 105.82ms
2025-09-25 13:31:43,240 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 13:31:43,241 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 13:36:43,249 | INFO | BotMonitor | 🖥️  System: CPU 28.5%, RAM 43.3%, Latency 116.01ms
2025-09-25 13:36:43,250 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 13:37:33,042 | INFO | BotMonitor | 📊 Loaded historical metrics
2025-09-25 13:37:33,042 | INFO | BotMonitor | 🚀 Monitoring system initialized (task start deferred)
2025-09-25 13:37:37,172 | INFO | BotMonitor | 🖥️  System: CPU 35.6%, RAM 43.6%, Latency 106.66ms
2025-09-25 13:37:37,172 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 13:37:37,172 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 13:41:21,844 | INFO | BotMonitor | 📊 Loaded historical metrics
2025-09-25 13:41:21,845 | INFO | BotMonitor | 🚀 Monitoring system initialized (task start deferred)
2025-09-25 13:41:26,247 | INFO | BotMonitor | 🖥️  System: CPU 30.4%, RAM 43.6%, Latency 107.28ms
2025-09-25 13:41:26,247 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 13:41:26,248 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 13:46:26,253 | INFO | BotMonitor | 🖥️  System: CPU 16.3%, RAM 43.5%, Latency 114.91ms
2025-09-25 13:46:26,253 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 13:51:26,260 | INFO | BotMonitor | 🖥️  System: CPU 17.9%, RAM 43.6%, Latency 104.79ms
2025-09-25 13:51:26,260 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 13:56:26,251 | INFO | BotMonitor | 🖥️  System: CPU 19.7%, RAM 43.7%, Latency 104.96ms
2025-09-25 13:56:26,252 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 14:01:26,256 | INFO | BotMonitor | 🖥️  System: CPU 28.6%, RAM 43.9%, Latency 105.7ms
2025-09-25 14:01:26,256 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 14:01:26,257 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 14:06:26,255 | INFO | BotMonitor | 🖥️  System: CPU 35.9%, RAM 44.8%, Latency 105.01ms
2025-09-25 14:06:26,256 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 14:11:26,262 | INFO | BotMonitor | 🖥️  System: CPU 34.9%, RAM 44.8%, Latency 108.66ms
2025-09-25 14:11:26,262 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 14:16:26,254 | INFO | BotMonitor | 🖥️  System: CPU 32.0%, RAM 45.4%, Latency 115.67ms
2025-09-25 14:16:26,254 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 14:21:26,257 | INFO | BotMonitor | 🖥️  System: CPU 32.1%, RAM 49.3%, Latency 104.7ms
2025-09-25 14:21:26,257 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 14:26:26,250 | INFO | BotMonitor | 🖥️  System: CPU 34.0%, RAM 48.2%, Latency 107.62ms
2025-09-25 14:26:26,250 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 14:31:26,253 | INFO | BotMonitor | 🖥️  System: CPU 44.6%, RAM 48.7%, Latency 113.29ms
2025-09-25 14:31:26,254 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 14:36:26,250 | INFO | BotMonitor | 🖥️  System: CPU 31.3%, RAM 48.5%, Latency 112.02ms
2025-09-25 14:36:26,250 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 14:41:26,253 | INFO | BotMonitor | 🖥️  System: CPU 36.1%, RAM 48.9%, Latency 110.02ms
2025-09-25 14:41:26,253 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 14:46:26,257 | INFO | BotMonitor | 🖥️  System: CPU 34.6%, RAM 49.1%, Latency 123.21ms
2025-09-25 14:46:26,257 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 14:51:26,249 | INFO | BotMonitor | 🖥️  System: CPU 36.4%, RAM 49.2%, Latency 105.72ms
2025-09-25 14:51:26,249 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 14:56:26,249 | INFO | BotMonitor | 🖥️  System: CPU 38.4%, RAM 48.2%, Latency 105.68ms
2025-09-25 14:56:26,249 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 15:01:26,251 | INFO | BotMonitor | 🖥️  System: CPU 31.8%, RAM 48.9%, Latency 109.28ms
2025-09-25 15:01:26,251 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 15:01:26,252 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 15:06:26,248 | INFO | BotMonitor | 🖥️  System: CPU 37.8%, RAM 49.0%, Latency 105.92ms
2025-09-25 15:06:26,248 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 15:11:26,250 | INFO | BotMonitor | 🖥️  System: CPU 35.3%, RAM 49.3%, Latency 105.81ms
2025-09-25 15:11:26,250 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 15:16:26,257 | INFO | BotMonitor | 🖥️  System: CPU 32.7%, RAM 49.2%, Latency 110.69ms
2025-09-25 15:16:26,257 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 15:21:26,254 | INFO | BotMonitor | 🖥️  System: CPU 33.0%, RAM 49.2%, Latency 110.59ms
2025-09-25 15:21:26,254 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 15:26:26,257 | INFO | BotMonitor | 🖥️  System: CPU 38.2%, RAM 49.0%, Latency 120.64ms
2025-09-25 15:26:26,257 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 15:31:26,253 | INFO | BotMonitor | 🖥️  System: CPU 52.4%, RAM 49.4%, Latency 112.07ms
2025-09-25 15:31:26,254 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 15:36:26,255 | INFO | BotMonitor | 🖥️  System: CPU 36.0%, RAM 49.4%, Latency 103.92ms
2025-09-25 15:36:26,256 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 15:41:26,261 | INFO | BotMonitor | 🖥️  System: CPU 49.2%, RAM 49.6%, Latency 110.24ms
2025-09-25 15:41:26,261 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 15:46:26,255 | INFO | BotMonitor | 🖥️  System: CPU 32.3%, RAM 50.2%, Latency 107.32ms
2025-09-25 15:46:26,255 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 15:51:26,251 | INFO | BotMonitor | 🖥️  System: CPU 33.6%, RAM 48.1%, Latency 110.62ms
2025-09-25 15:51:26,251 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 15:56:26,256 | INFO | BotMonitor | 🖥️  System: CPU 26.7%, RAM 47.9%, Latency 113.16ms
2025-09-25 15:56:26,256 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 16:01:26,254 | INFO | BotMonitor | 🖥️  System: CPU 26.3%, RAM 47.2%, Latency 141.74ms
2025-09-25 16:01:26,254 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 16:01:26,255 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 16:06:26,248 | INFO | BotMonitor | 🖥️  System: CPU 34.1%, RAM 47.8%, Latency 103.69ms
2025-09-25 16:06:26,248 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
