[2025-09-24 21:06:45,410] [INFO] Loaded configured channel 5555 for guild 9999
[2025-09-24 21:06:45,411] [INFO] Posting manga updates to channel dummy
[2025-09-24 21:06:45,411] [INFO] Found 1 new manga updates after filtering
[2025-09-24 21:06:45,411] [INFO] Posting update for manga id=123 title=Big Manga status=FINISHED
[2025-09-24 21:06:45,412] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmpstynlntc\manga_scan_test.json
[2025-09-24 21:06:45,412] [INFO] Post manga updates complete and state saved
[2025-09-24 21:08:14,903] [INFO] Finisher cog initialized
[2025-09-24 21:08:39,136] [INFO] Finisher cog initialized
[2025-09-24 21:08:45,208] [INFO] Finisher cog initialized
[2025-09-24 21:08:49,119] [INFO] Finisher cog initialized
[2025-09-24 21:08:49,124] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmpo0h2ukam\manga_scan_test.json
[2025-09-24 21:08:49,126] [INFO] Saved configured channel 5555 for guild 9999 to C:\Users\benet\AppData\Local\Temp\tmpo0h2ukam\manga_channel_test.json
[2025-09-24 21:08:49,127] [INFO] Loaded configured channel 5555 for guild 9999
[2025-09-24 21:08:49,128] [INFO] Posting manga updates to channel dummy
[2025-09-24 21:08:49,128] [INFO] Found 1 new manga updates after filtering
[2025-09-24 21:08:49,128] [INFO] Posting update for manga id=123 title=Big Manga status=FINISHED
[2025-09-24 21:08:49,130] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmpo0h2ukam\manga_scan_test.json
[2025-09-24 21:08:49,130] [INFO] Post manga updates complete and state saved
[2025-09-24 21:09:17,481] [INFO] Finisher cog initialized
[2025-09-24 21:10:34,118] [INFO] Finisher cog initialized
[2025-09-24 21:10:44,208] [INFO] Finisher cog initialized
[2025-09-24 21:10:46,252] [INFO] Finisher cog initialized
[2025-09-24 21:10:52,328] [INFO] Finisher cog initialized
[2025-09-24 21:10:56,637] [INFO] Finisher cog initialized
[2025-09-24 21:10:56,643] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmp8hb1oik1\manga_scan_test.json
[2025-09-24 21:10:56,644] [INFO] Saved configured channel 5555 for guild 9999 to C:\Users\benet\AppData\Local\Temp\tmp8hb1oik1\manga_channel_test.json
[2025-09-24 21:10:56,645] [INFO] Loaded configured channel 5555 for guild 9999
[2025-09-24 21:10:56,646] [INFO] Posting manga updates to channel dummy
[2025-09-24 21:10:56,646] [INFO] Found 1 new manga updates after filtering
[2025-09-24 21:10:56,646] [INFO] Posting update for manga id=123 title=Big Manga status=FINISHED
[2025-09-24 21:10:56,648] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmp8hb1oik1\manga_scan_test.json
[2025-09-24 21:10:56,648] [INFO] Post manga updates complete and state saved
[2025-09-24 21:11:20,603] [INFO] Finisher cog initialized
[2025-09-24 21:13:51,873] [INFO] Finisher cog initialized
[2025-09-24 21:18:36,243] [INFO] Finisher cog initialized
[2025-09-24 21:24:32,767] [INFO] Finisher cog initialized
[2025-09-24 21:25:23,547] [INFO] Finisher cog initialized
[2025-09-24 21:28:05,682] [INFO] Finisher cog initialized
[2025-09-24 21:47:25,656] [INFO] Finisher cog initialized
[2025-09-24 22:33:28,914] [INFO] Fetching manga list from AniList
[2025-09-24 22:33:29,261] [INFO] AniList returned 25 media entries
[2025-09-24 22:33:31,717] [INFO] Loaded configured channel 1420499306300969063 for guild 897814031346319382
[2025-09-24 22:33:31,717] [INFO] Posting manga updates to channel 📣•manga-completion•
[2025-09-24 22:33:31,718] [INFO] Fetching manga list from AniList
[2025-09-24 22:33:32,007] [INFO] AniList returned 25 media entries
[2025-09-24 22:33:32,007] [INFO] Found 1 new manga updates after filtering
[2025-09-24 22:33:32,007] [INFO] Posting update for manga id=186672 title=Heated Exchange status=FINISHED
[2025-09-24 22:33:34,380] [INFO] Saved 25 current manga ids to data/manga_scan.json
[2025-09-24 22:33:34,382] [INFO] Post manga updates complete and state saved
[2025-09-24 22:33:34,383] [INFO] Posting anime updates to channel 📣•manga-completion•
[2025-09-24 22:33:34,383] [ERROR] Error running forceupdate command
Traceback (most recent call last):
  File "C:\Users\benet\OneDrive\Documents\Coding\Projects\Personal Projects\Lemegeton_test\cogs\finisher.py", line 705, in forceupdate
    await self.post_updates(channel, kind="anime")
  File "C:\Users\benet\OneDrive\Documents\Coding\Projects\Personal Projects\Lemegeton_test\cogs\finisher.py", line 492, in post_updates
    items = await self.fetch_anime()
                  ^^^^^^^^^^^^^^^^
AttributeError: 'Finisher' object has no attribute 'fetch_anime'. Did you mean: 'fetch_manga'?
[2025-09-24 22:59:01,453] [INFO] Finisher cog initialized
[2025-09-24 23:02:20,682] [INFO] Finisher cog initialized
[2025-09-24 23:05:07,199] [INFO] Finisher cog initialized
[2025-09-24 23:10:40,001] [INFO] Finisher cog initialized
[2025-09-24 23:23:06,586] [INFO] Finisher cog initialized
[2025-09-24 23:26:55,094] [INFO] Finisher cog initialized
[2025-09-24 23:30:06,615] [INFO] Finisher cog initialized
[2025-09-24 23:33:28,788] [INFO] Finisher cog initialized
[2025-09-24 23:40:55,189] [INFO] Finisher cog initialized
[2025-09-24 23:42:52,252] [INFO] Finisher cog initialized
[2025-09-24 23:43:31,265] [INFO] Finisher cog initialized
[2025-09-24 23:47:46,590] [INFO] Finisher cog initialized
[2025-09-24 23:52:30,822] [INFO] Finisher cog initialized
[2025-09-24 23:59:23,710] [INFO] Finisher cog initialized
[2025-09-25 00:06:03,457] [INFO] Finisher cog initialized
[2025-09-25 00:12:44,259] [INFO] Finisher cog initialized
[2025-09-25 00:15:29,358] [INFO] Finisher cog initialized
[2025-09-25 00:18:51,144] [INFO] Finisher cog initialized
[2025-09-25 01:12:34,943] [INFO] Finisher cog initialized
[2025-09-25 01:43:17,987] [INFO] Fetching manga list from AniList
[2025-09-25 01:43:18,263] [INFO] AniList returned 25 media entries
[2025-09-25 01:43:19,374] [INFO] Loaded configured channel 1420499306300969063 for guild 897814031346319382
[2025-09-25 01:43:19,374] [INFO] Posting manga updates to channel 📣•manga-completion•
[2025-09-25 01:43:19,375] [INFO] Fetching manga list from AniList
[2025-09-25 01:43:19,684] [INFO] AniList returned 25 media entries
[2025-09-25 01:43:19,685] [INFO] Found 0 new manga updates after filtering
[2025-09-25 01:43:20,008] [INFO] Saved 25 current manga ids to data/manga_scan.json
[2025-09-25 01:43:22,023] [INFO] Posting anime updates to channel 📣•manga-completion•
[2025-09-25 01:43:22,024] [ERROR] Error running forceupdate command
Traceback (most recent call last):
  File "C:\Users\benet\OneDrive\Documents\Coding\Projects\Personal Projects\Lemegeton_test\cogs\finisher.py", line 705, in forceupdate
    await self.post_updates(channel, kind="anime")
  File "C:\Users\benet\OneDrive\Documents\Coding\Projects\Personal Projects\Lemegeton_test\cogs\finisher.py", line 492, in post_updates
    items = await self.fetch_anime()
                  ^^^^^^^^^^^^^^^^
AttributeError: 'Finisher' object has no attribute 'fetch_anime'. Did you mean: 'fetch_manga'?
[2025-09-25 01:44:28,367] [INFO] Finisher cog initialized
[2025-09-25 01:45:00,683] [INFO] Finisher cog initialized
[2025-09-25 01:45:43,974] [INFO] Fetching manga list from AniList
[2025-09-25 01:45:44,269] [INFO] AniList returned 25 media entries
[2025-09-25 01:45:45,239] [INFO] Loaded configured channel 1420499306300969063 for guild 897814031346319382
[2025-09-25 01:45:45,239] [INFO] Posting manga updates to channel 📣•manga-completion•
[2025-09-25 01:45:45,240] [INFO] Fetching manga list from AniList
[2025-09-25 01:45:45,531] [INFO] AniList returned 25 media entries
[2025-09-25 01:45:45,532] [INFO] Found 0 new manga updates after filtering
[2025-09-25 01:45:45,798] [INFO] Saved 25 current manga ids to data/manga_scan.json
[2025-09-25 01:45:47,808] [INFO] Posting anime updates to channel 📣•manga-completion•
[2025-09-25 01:45:47,809] [INFO] Fetching anime list from AniList
[2025-09-25 01:45:48,197] [INFO] AniList returned 25 anime entries
[2025-09-25 01:45:48,197] [INFO] Found 25 new anime updates after filtering
[2025-09-25 01:45:48,197] [INFO] Posting update for anime id=137699 title=Biaozhun Guige Zhanshi status=FINISHED
[2025-09-25 01:45:50,511] [INFO] Posting update for anime id=195209 title=With Vengeance, Sincerely, Your Broken Saintess status=FINISHED
[2025-09-25 01:45:52,816] [INFO] Posting update for anime id=178090 title=I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2 status=FINISHED
